method,dataset,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1,AR500
ROI-RES-VS-SW,SDS-resize,51.42439980339659,83.83913821516826,54.984125300359196,-100.0,35.72222510793587,48.04061746126414,60.20053063812575,39.48421034853535,64.91804983313544,26.519750431958382,60.432183931191815,60.457233571297245,-100.0,42.23500449673916,59.69085963921725,68.23250112191572,46.268206693724615,67.6598282442748,42349.0,11088.0,5329.0,79.25033216685068,88.82293720374177,83.76403105375067,
ROI-RES-VS-SW,SDS-sw,50.91034631568301,83.28981601023482,54.30515203972545,-100.0,35.70050055791734,48.17607609427685,60.17004329533743,36.93335947151927,24.405940594059405,26.08129050378399,59.99064445397594,60.02213655341077,-100.0,42.24078535764276,59.79849852810614,68.16947324687132,44.988101776346454,24.32649491094147,42055.0,12703.0,5623.0,76.80156324190072,88.20630059985739,82.10980514662813,
ROI-RES-VS-SW,DC-resize,21.42779029667187,51.20509241376702,13.96432929008841,-100.0,53.06006188858605,22.360377695324193,-100.0,-100.0,-100.0,,,,-100.0,72.34601833735347,73.55317467287257,-100.0,-100.0,-100.0,751889.0,971955.0,430049.0,43.61699782578934,63.61492734813501,51.75123254256513,72.27341874108455
ROI-RES-VS-SW,DC-sw,22.030572200136938,52.26022099760909,14.595545777011246,-100.0,52.632001497162385,43.25788288741813,-100.0,-100.0,-100.0,,,,-100.0,72.78530044066241,73.68929480987092,-100.0,-100.0,-100.0,752419.0,911141.0,429519.0,45.229447690495086,63.65976895573202,52.884872876382275,72.70685941225344
