method,conf_th,iou_th,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
NMS,0.1,0.1,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,40395,9233,7283,81.3955831385508,84.7246109316666,83.0267403859988
NMS,0.2,0.1,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,40614,6997,7064,85.3038163449623,85.183942279458,85.2438371690332
NMS,0.3,0.1,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,40604,5863,7074,87.3824434544946,85.1629682453123,86.2584311434489
NMS,0.4,0.1,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,40420,5032,7258,88.9289800228813,84.7770460170309,86.8033931064104
NMS,0.5,0.1,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,40013,4336,7665,90.2230039008771,83.9234028272998,86.9592619557304
NMS,0.6,0.1,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,39180,3597,8498,91.591275685532,82.1762657829607,86.6287104084904
NMS,0.7,0.1,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,37318,2662,10360,93.3416708354177,78.2709006250262,85.1445390038559
NMS,0.8,0.1,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,29877,1500,17801,95.2194282436179,62.6641218171903,75.5853519701474
NMS,0.9,0.1,43.3625898030628,80.0678807259582,41.9949594818851,-100,34.9577850410026,40.7436788209665,48.0555921472285,32.8839443834777,59.0729453894653,24.4770857200901,54.6106815496182,54.6106815496182,-100,41.4087652929264,54.6031759029897,58.7454695751302,38.7874495149509,63.1750954198473,7710,390,39968,95.1851851851852,16.170980326356,27.6453081860232
NMS,0.1,0.2,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,41402,9501,6276,81.3350883052079,86.8366961701414,83.9959018472119
NMS,0.2,0.2,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,41574,7172,6104,85.2869979075206,87.1974495574479,86.2316435742139
NMS,0.3,0.2,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,41537,5952,6141,87.4665712059635,87.1198456311087,87.2928641230679
NMS,0.4,0.2,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,41326,5017,6352,89.1742010659647,86.6772935106338,87.9080205486008
NMS,0.5,0.2,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,40882,4200,6796,90.6836431391686,85.7460463945635,88.1457524795171
NMS,0.6,0.2,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,40021,3360,7657,92.2546737050783,83.9401820546164,87.9012508373692
NMS,0.7,0.2,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,38125,2315,9553,94.2754698318497,79.9635051805864,86.5316961347284
NMS,0.8,0.2,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,30614,1094,17064,96.5497666204112,64.2099081337304,77.126949336155
NMS,0.9,0.2,46.0614987495401,82.2338222584942,45.4062029930532,-100,34.9621120047588,42.2616041296103,52.1200028586157,34.53224711852,63.1354341005098,25.2514838600164,56.4379165142316,56.4379165142316,-100,41.5139583678957,55.4457046629492,61.9281240376583,40.1561103003659,65.9995229007634,8116,75,39562,99.084360883897,17.0225261126725,29.0536791422793
NMS,0.1,0.3,47.8522038617357,83.5313242609243,48.0814937800534,-100,34.9594219515568,43.4557374762248,54.7805207966555,35.8307649924736,64.4661024569033,25.693440176705,57.6341833160963,57.6347765766563,-100,41.6797919578292,56.1357444798752,63.8561368802176,41.121605487747,67.0491412213741,41840,10158,5838,80.4646332551252,87.7553588657242,83.9520044945624
NMS,0.2,0.3,47.8522038617357,83.5313242609243,48.0814937800534,-100,34.9594219515568,43.4557374762248,54.7805207966555,35.8307649924736,64.4661024569033,25.693440176705,57.6341833160963,57.6347765766563,-100,41.6797919578292,56.1357444798752,63.8561368802176,41.121605487747,67.0491412213741,41998,7708,5680,84.4928177684787,88.0867486052267,86.2523617842767
NMS,0.3,0.3,47.8522038617357,83.5313242609243,48.0814937800534,-100,34.9594219515568,43.4557374762248,54.7805207966555,35.8307649924736,64.4661024569033,25.693440176705,57.6341833160963,57.6347765766563,-100,41.6797919578292,56.1357444798752,63.8561368802176,41.121605487747,67.0491412213741,41938,6444,5740,86.6809970650242,87.9609044003524,87.3162606704143
NMS,0.4,0.3,47.8522038617357,83.5313242609243,48.0814937800534,-100,34.9594219515568,43.4557374762248,54.7805207966555,35.8307649924736,64.4661024569033,25.693440176705,57.6341833160963,57.6347765766563,-100,41.6797919578292,56.1357444798752,63.8561368802176,41.121605487747,67.0491412213741,41708,5464,5970,88.416857457814,87.4785016150006,87.9451765946231
NMS,0.5,0.3,47.8522038617357,83.5313242609243,48.0814937800534,-100,34.9594219515568,43.4557374762248,54.7805207966555,35.8307649924736,64.4661024569033,25.693440176705,57.6341833160963,57.6347765766563,-100,41.6797919578292,56.1357444798752,63.8561368802176,41.121605487747,67.0491412213741,41241,4605,6437,89.9555032063866,86.4990142203952,88.1934049014157
