method,dataset,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR500,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
OBS-iou,DC-OBS-th05,21.2854750869394,51.7059273853576,13.4206077409952,-100,51.9458375120327,47.522675314175,-100,-100,-100,67.6724159812105,-100,67.8133551421542,69.1446386229911,-100,-100,-100,712824,592468,469114,54.6103094173564,60.3097624410079,57.3187039397241
OBS-iou,DC-OBS-th03,19.2047987454723,47.2077520852105,12.0302307737896,-100,47.4371300619569,43.1509880768771,-100,-100,-100,61.2718264409808,-100,61.4035632576581,62.9533678756477,-100,-100,-100,650876,512404,531062,55.9517914861426,55.068539974178,55.5066522600458
OBS-iou,DC-OBS-th07,22.1401174991309,53.3444960561618,14.2062787608969,-100,53.5709249493372,49.2651923071008,-100,-100,-100,71.0428127363703,-100,71.1475684199993,72.7584087116888,-100,-100,-100,741357,730491,440581,50.3691277903697,62.7238484590562,55.8716490327404
OBS-iou,DC-OBS-th06,21.8383476540941,52.7033071871398,13.9420095155475,-100,52.9321693923514,48.7758031015037,-100,-100,-100,69.7935932341629,-100,69.9140069912454,71.4718538684465,-100,-100,-100,730785,662206,451153,52.4615736928667,61.829385297706,56.7615650761633
OBS-iou,DC-OBS-th08,22.1424812758827,53.1697146312502,14.2069971823733,-100,53.3790130782009,49.642299537822,-100,-100,-100,71.6910700899709,-100,71.7852693837973,73.4521823131641,-100,-100,-100,745938,781543,436000,48.8345190545742,63.1114322409467,55.0625798372271
OBS-iou,DC-OBS-th01,16.1672732690619,39.7778633008253,10.1131192058459,-100,40.0013814959633,33.2499911602086,-100,-100,-100,51.7626136057898,-100,51.8949863867408,50.7289013787653,-100,-100,-100,549742,423767,632196,56.4701507638861,46.5119151765998,51.0095585741612
OBS-iou,DC-OBS-th02,17.8484918813279,44.0615650400263,11.1139886059157,-100,44.2852004648614,39.4125524918853,-100,-100,-100,57.1591741698803,-100,57.2903402797188,57.7895846140336,-100,-100,-100,607670,473276,574268,56.2164992515815,51.4130182801467,53.7075696323806
OBS-iou,DC-OBS-th09,22.0753460235673,53.0673188732876,14.2557581441009,-100,53.2680034905368,49.7309683398178,-100,-100,-100,72.0314432736743,-100,72.1177503787212,73.8298059190305,-100,-100,-100,747884,829629,434054,47.4090546321964,63.2760770869538,54.2052748898241
OBS-iou,DC-OBS-th04,20.4377982264143,49.7121225185603,12.9033156480273,-100,49.9470298814435,45.6813729698771,-100,-100,-100,64.7621956481643,-100,64.9068639122678,66.1982963028014,-100,-100,-100,686123,547309,495815,55.6271444230408,58.050676092993,56.8130762574678
