method,dataset,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
compare-SDS,004-tiny-100ep-best,51.16060459748285,83.93322865325487,54.98891963571466,-100.0,35.18265901818663,48.285822152798474,60.09739549176617,38.79930704641689,64.43646100684889,26.270603496277534,60.40728540586044,60.434436009951064,-100.0,41.91211662182862,59.78917057273191,68.41531853467792,45.48817198323952,67.05967716284987,42412.0,11512.0,5266.0,78.65143535346043,88.95507361885984,83.48654554044211
compare-SDS,004-tiny-100ep-last,51.42439980339659,83.83913821516826,54.984125300359196,-100.0,35.72222510793587,48.04061746126414,60.20053063812575,39.48421034853535,64.91804983313544,26.519750431958382,60.432183931191815,60.457233571297245,-100.0,42.23500449673916,59.69085963921725,68.23250112191572,46.268206693724615,67.6598282442748,42349.0,11088.0,5329.0,79.25033216685068,88.82293720374177,83.76403105375067
compare-SDS,005-v7,51.72520422222272,84.40244142316493,54.818482831279965,-100.0,32.64580146366286,49.76163008278925,60.181679914100506,41.13254645345289,71.50089872415627,26.758614632862475,60.57750747362337,60.63501663414604,-100.0,40.369300157191034,60.99495425002473,68.17395377219697,47.941231562240255,75.0763358778626,42340.0,11892.0,5338.0,78.07198701873432,88.80406057301062,83.09292513001668
compare-SDS,006-tiny-300ep,52.74699128094217,84.74798738933734,57.26624789136525,-100.0,34.56125549134264,51.21796518281233,61.823655008386424,37.73880619070378,69.33125078178344,26.573777197280922,61.92228224681091,61.96529190906468,-100.0,41.72655618362993,61.98070795645349,70.00050936412066,44.47164480721307,72.50854802798983,42782.0,12755.0,4896.0,77.03332913193006,89.73111288225178,82.8988034684881
compare-SDS,007-tiny-100ep-bigger,51.677263811489496,84.35751618395595,55.7018377326956,-100.0,35.61811509932173,47.85621334939654,61.395897612989636,39.053267609712925,64.49040321455061,26.53613053457725,60.80475085782556,60.8494967771436,-100.0,42.205451707127686,59.464247173467314,69.71226657482012,45.21517700721763,68.69235050890585,42641.0,11586.0,5037.0,78.63425968613421,89.43537900079701,83.68774839311122
