method,conf_th,iou_th,TP,FP,FN,P,R,F1
OBS,0.4,0.5,41766,4273,5912,90.7187384608701,87.6001510130459,89.132174525433
NMS,0.4,0.6,41816,8275,5862,83.4800662793715,87.7050211837745,85.540406468308
OBS,0.4,0.6,41787,4511,5891,90.2565985571731,87.6441964847519,88.9312164808036
NMS,0.4,0.7,41852,9371,5826,81.7054838646702,87.7805277066991,84.6341290785735
OBS,0.4,0.7,41827,4962,5851,89.3949432558935,87.7280926213348,88.5536748282469
NMS,0.4,0.8,41870,10625,5808,79.7599771406801,87.8182809681614,83.5953799926128
OBS,0.4,0.8,41845,5726,5833,87.9632549242185,87.7658458827971,87.8644395216748
NMS,0.4,0.9,41878,12918,5800,76.425286517264,87.835060195478,81.7339032339911
OBS,0.4,0.9,41850,7058,5828,85.5688230964259,87.77633289987,86.6585219389974
NONE,0.4,NONE,41893,17700,5785,70.2985249945463,87.8665212466966,78.1068508730225
NMS,0.5,0.1,40013,4336,7665,90.2230039008771,83.9234028272998,86.9592619557304
OBS,0.5,0.1,41339,7775,6339,84.1694832430671,86.7045597550233,85.4182163815191
OBS,0.5,0.1,41222,3378,6456,92.4260089686099,86.4591635555183,89.3430720215003
NMS,0.5,0.2,40882,4200,6796,90.6836431391686,85.7460463945635,88.1457524795171
OBS,0.5,0.2,41267,3404,6411,92.3798437465022,86.553546709174,89.3718394351861
NMS,0.5,0.3,41241,4605,6437,89.9555032063866,86.4990142203952,88.1934049014157
OBS,0.5,0.3,41277,3431,6401,92.3257582535564,86.5745207433198,89.357694888836
NMS,0.5,0.4,41295,5393,6383,88.4488519533927,86.6122740047821,87.5209291482102
OBS,0.5,0.4,41283,3486,6395,92.213361924546,86.5871051638072,89.3117137386827
NMS,0.5,0.5,41317,6307,6361,86.7566773055602,86.6584168799027,86.7075192545802
OBS,0.5,0.5,41280,3597,6398,91.9847583394612,86.5808129535635,89.2010156123386
NMS,0.5,0.6,41331,7235,6347,85.102746777581,86.6877805277067,85.8879514567142
OBS,0.5,0.6,41293,3771,6385,91.6319012959347,86.6080791979529,89.0491902266503
NMS,0.5,0.7,41356,8288,6322,83.3051325437112,86.740215613071,84.987978052239
OBS,0.5,0.7,41335,4147,6343,90.8821072072468,86.696170141365,88.7398024903392
NMS,0.5,0.8,41369,9477,6309,81.3613656924832,86.7674818574605,83.9775080183508
OBS,0.5,0.8,41349,4823,6329,89.5542753183748,86.725533789169,88.1172083111348
NMS,0.5,0.9,41381,11671,6297,78.0008293749529,86.7926506984353,82.1622158244813
OBS,0.5,0.9,41353,6072,6325,87.1966262519768,86.7339234028273,86.9646593693154
NONE,0.5,NONE,41403,16344,6275,71.6972310249883,86.8387935735559,78.5449371591179
NMS,0.6,0.1,39180,3597,8498,91.591275685532,82.1762657829607,86.6287104084904
OBS,0.6,0.1,40414,6638,7264,85.8922043696336,84.7644615965435,85.3246067771561
OBS,0.6,0.1,40299,2779,7379,93.5489112772181,84.5232602038676,88.8073515800608
NMS,0.6,0.2,40021,3360,7657,92.2546737050783,83.9401820546164,87.9012508373692
OBS,0.6,0.2,40345,2799,7333,93.51242351196,84.619740760938,88.8441126599282
NMS,0.6,0.3,40356,3670,7322,91.6640167173943,84.6428121984983,88.0136090028788
OBS,0.6,0.3,40352,2820,7326,93.467988511072,84.63442258484,88.8321408915795
NMS,0.6,0.4,40394,4376,7284,90.2255974983248,84.722513528252,87.3875043267567
OBS,0.6,0.4,40357,2857,7321,93.388716619614,84.6449096019128,88.8020947938213
NMS,0.6,0.5,40400,5232,7278,88.5343618513324,84.7350979487394,86.5930768406387
OBS,0.6,0.5,40354,2922,7324,93.2479896478418,84.6386173916691,88.7349649273259
NMS,0.6,0.6,40406,6116,7272,86.8535316624393,84.7476823692269,85.7876857749469
OBS,0.6,0.6,40365,3038,7313,93.0004838375228,84.6616888292294,88.6353904766087
NMS,0.6,0.7,40430,7135,7248,84.9994744034479,84.7980200511767,84.8986277206724
OBS,0.6,0.7,40399,3328,7279,92.3891417202186,84.7330005453249,88.3956019911383
