method,dataset,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1,AR500
ROI-RES-VS-SW,SDS-resize-d7,51.48087391450158,83.86447335382343,55.02684957313372,-100.0,35.32098959384619,48.36489408897866,60.2415843416039,39.69734864588689,66.41383158192056,26.552114252522713,60.448018835412206,60.47148644735753,-100.0,42.02506964992383,59.76890294738606,68.24804256481319,46.26132756614088,70.14829834605598,42476.0,10895.0,5202.0,79.58629218114707,89.0893074373925,84.07010460271749,
ROI-RES-VS-SW,SDS-sw-d7,50.71925700510733,83.25993904630995,54.198983761244925,-100.0,35.308496694340555,48.64262133260564,60.20207712021657,36.25846985305272,19.95049504950495,25.96195307288004,59.85574681386087,59.89160687471669,-100.0,42.02373560509993,59.94321625637653,68.20099584657565,44.30787128250742,19.83718988549618,42086.0,13306.0,5592.0,75.97848064702484,88.27132010570912,81.66488794023479,
ROI-RES-VS-SW,DC-resize-d7,19.18559430950307,46.958066796439525,11.438934259018515,-100.0,51.58832871656248,12.17489364908633,-100.0,-100.0,-100.0,,,,-100.0,70.30540976082763,73.16676912268376,-100.0,-100.0,-100.0,746431.0,1246619.0,435507.0,37.45169463887007,63.15314339669255,47.01945330187075,70.2607920212397
ROI-RES-VS-SW,DC-sw-d7,21.720540493456816,51.29716210453932,14.229262083699126,-100.0,51.61103934870492,44.127270361798764,-100.0,-100.0,-100.0,,,,-100.0,72.50682388341943,73.90884341793273,-100.0,-100.0,-100.0,754947.0,987060.0,426991.0,43.33777074374557,63.873654963289106,51.638933016865906,72.44220932062426
