,method,ds,TP,FP,FN,P,R,F1
0,OBS-iou,DC-OBS-disabled,748260.0,842218.0,433678.0,47.04623389949437,63.30788924630565,53.978912255592235
1,OBS-iou,DC-OBS-th05,712824.0,592468.0,469114.0,54.61030941735642,60.309762441007905,57.3187039397241
