weights,FPS,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl
ts-fp32,12.18448115810363,53.06910680434312,84.9858929404373,57.6804629134079,-100.0,34.30089847449385,52.14473369177578,61.68970284420078,37.38058891178957,70.82064480900927,26.934328005379115,62.04007096547273,62.07173195534206,-100.0,40.84238150410749,62.63524874511136,69.91054318308213,43.65763758830791,75.64706583969466
trt-fp32,28.18974840654786,53.083745022840624,84.96870861867657,57.69427462357337,-100.0,34.28799034928701,52.12107829369806,61.688176726893865,37.42204458867064,71.32537287159806,26.939627696512975,62.050799085045114,62.08048253971433,-100.0,40.86937721903304,62.590134528049546,69.9204861479738,43.775708628874014,75.87607347328245
trt-fp16,35.09008207425462,53.101448935437276,85.03131866961256,57.68602457170372,-100.0,34.36611565607766,52.14044884407334,61.70708090168303,37.51899836036826,71.09595570479952,26.94667102479788,62.057454553933624,62.08747514379399,-100.0,40.92536160674515,62.617557407255084,69.92141956026649,43.71967565227563,76.08599713740458
trt-int8,39.379593565105964,28.637995054202882,56.077935389117314,27.10701652722754,-100.0,25.883434375983423,31.088758286020614,25.65181229964411,18.778118345617045,49.45640552759,19.946455848034844,45.03331831074986,45.05543886419436,-100.0,34.7330045164185,45.99812159256044,46.254532673429516,30.361688225076456,50.876073473282446
