method,dataset,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
SAM-vs-BBOXES,SDS-bboxes0,51.31692270892718,83.00848729438964,55.25820505280008,-100.0,34.71573996187771,48.59030004242428,60.87070725822786,38.83891588986948,63.156278296678494,26.624532479833384,59.70868775454059,59.73504734455115,-100.0,40.812618731974986,59.2463413647968,68.1170671835036,45.79483859257553,67.06265903307889,42072.0,11683.0,5606.0,78.26620779462375,88.24195645790512,82.95525124959332
SAM-vs-BBOXES,SDS-bboxes1,51.42439980339659,83.83913821516826,54.984125300359196,-100.0,35.72222510793587,48.04061746126414,60.20053063812575,39.48421034853535,64.91804983313544,26.519750431958382,60.432183931191815,60.457233571297245,-100.0,42.23500449673916,59.69085963921725,68.23250112191572,46.268206693724615,67.6598282442748,42349.0,11088.0,5329.0,79.25033216685068,88.82293720374177,83.76403105375067
SAM-vs-BBOXES,SDS-bboxes2,51.758410959473785,84.10017485142274,55.502878787927976,-100.0,35.59447485374741,49.08610090403434,60.15908208380919,38.94486852174299,60.40767467195448,26.923195573127817,60.71070116214234,60.73430017931576,-100.0,42.38736792997144,60.5697990797999,68.202023284554,45.691534145190964,64.07402989821882,42499.0,11067.0,5179.0,79.33950640331554,89.13754771592768,83.95361700446448
SAM-vs-BBOXES,SDS-masks0,50.66605189679233,82.16527009215545,54.79482421731999,-100.0,34.52708569393991,47.39683912919834,60.29980172684309,37.369324198418155,54.365184944545554,26.290233736060426,59.63845990731741,59.66165544100777,-100.0,40.572404802245856,59.042767920685776,68.09828065544353,45.825187604390244,57.03502703562341,41874.0,11989.0,5804.0,77.74167796075227,87.82667058181971,82.47702898336632
SAM-vs-BBOXES,SDS-masks1,51.200768222351364,83.7053957539701,55.00782813631573,-100.0,36.31632120786622,48.869813266860284,60.099525534499186,37.8365927691343,60.958794764939164,26.803961268464565,61.00494803914691,61.03022365017999,-100.0,42.73249227526471,60.83698315865338,68.36543553968671,46.12914902979928,63.62595419847328,42388.0,13254.0,5290.0,76.17986413141152,88.9047359369101,82.05187766163377
SAM-vs-BBOXES,SDS-masks2,51.246706277015065,83.50145464988572,55.349807868868325,-100.0,36.00531363112518,48.59714797611752,60.411604525059545,36.30728522314238,55.39584759310762,26.658259242687325,60.78342285767738,60.82097467986215,-100.0,42.49298139466173,60.87741264043134,68.342207936156,45.18237859451783,59.241809796437664,42369.0,14462.0,5309.0,74.55262092871848,88.86488527203322,81.08201207551502
