,method,ds,TP,FP,FN,P,R,F1
0,SAM-vs-BBOXES,SDS-bboxes0,42072.0,11683.0,5606.0,78.26620779462375,88.24195645790512,82.95525124959332
1,SAM-vs-BBOXES,SDS-bboxes1,42349.0,11088.0,5329.0,79.25033216685068,88.82293720374177,83.76403105375067
2,SAM-vs-BBOXES,SDS-bboxes2,42499.0,11067.0,5179.0,79.33950640331554,89.13754771592768,83.95361700446448
3,SAM-vs-BBOXES,SDS-masks0,41874.0,11989.0,5804.0,77.74167796075227,87.82667058181971,82.47702898336632
4,SAM-vs-BBOXES,SDS-masks1,42388.0,13254.0,5290.0,76.17986413141152,88.9047359369101,82.05187766163377
5,SAM-vs-BBOXES,SDS-masks2,42369.0,14462.0,5309.0,74.55262092871848,88.86488527203322,81.08201207551502
