weights,FPS,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl
ts-fp32,42.355086754271696,53.076292914296296,84.98292414714614,57.68281539656163,-100.0,34.283478060519265,52.13607637088815,61.677721101583316,37.41703851375264,70.8195737217001,26.931957360147713,62.03965775421574,62.07151649760508,-100.0,40.83260986698534,62.632404357375634,69.91539153371282,43.66502704554547,75.62798187022901
trt-fp32,37.49292673577042,53.088787213164956,84.99847772940174,57.69394158201651,-100.0,34.36592623452477,52.160341438706894,61.69286382888419,37.41767345443098,70.8703399798335,26.937675153688996,62.0577573437379,62.08625427728705,-100.0,40.871751567360526,62.648286709335146,69.92951583610865,43.66863256636101,75.7424856870229
trt-fp16,48.903090089158766,53.05979521345016,84.95917249476042,57.67760502201259,-100.0,34.028972775701924,52.14659295788405,61.7016368540081,37.47243445730434,70.98882794021493,26.9114434098703,62.03602067328441,62.06501630169402,-100.0,40.42336502004113,62.638459109980374,69.93533582063873,43.836273271067945,75.36080629770993
trt-int8,57.62552786980243,28.65254115641367,56.10476093969946,27.20906439011477,-100.0,25.855003865286374,31.032781918126513,25.736059748153085,18.70027331754355,49.2843226041571,19.962260365810298,45.02283863334958,45.04394091043062,-100.0,34.61980064169032,45.88614565517855,46.42241062244801,30.271392134350815,50.87965171755725
