method,AP,AP50,AP75,APu,APvt,APt,AR500,ARvt,ARt,TP,FP,FN,P,R,F1
sanity-check-seg,22.1663899354317,53.1747952790957,14.2066552634091,-100,53.3757977294294,49.9617813494595,71.0324907059423,71.1304871441832,72.7232809343989,743129,753746,438809,49.6453611691023,62.8737717206825,55.4819616001565
sanity-check-seg_track,22.3970858608401,53.2963273535058,14.3593039605566,-100,53.4937361168645,50.2125874227541,71.2467997475333,71.3420189032786,73.0262580135242,745179,762898,436759,49.4125299968105,63.0472156745955,55.4033341821514
seg_track-NMS-obs07-afteragg-dil-segsmall-old_det_th,22.6535999918378,53.4986411276696,15.0314030101437,-100,53.5225189095783,58.7690184936296,73.2158539618829,73.3124044570052,74.8572934047598,784941,1084158,396997,41.9956888318917,66.411351526053,51.4540466077599
seg_track-NMS-obs07-afteragg-nodil-segsmall-old_det_th,22.7661441244386,53.837355811152,15.184739189396,-100,53.8476679430497,59.9835479688407,73.2934384037065,73.3720163842217,75.7530517256521,790951,1090418,390987,42.0412476234062,66.9198384348418,51.6403351019013
seg_track-noNMS-obs07-afteragg-dil-segsmall-old_det_th,22.2934370481935,51.7323375988132,15.2452252322484,-100,51.7811637009071,54.9025269797516,74.0835813722886,74.1309253910577,75.7925704751032,802800,1465573,379138,35.3910049185033,67.9223444884588,46.5349355463899
seg_track-noNMS-obs07-afteragg-dil-segsmall-old_det_th,22.2934370481935,51.7323375988132,15.2452252322484,-100,51.7811637009071,54.9025269797516,74.0835813722886,74.1309253910577,75.7925704751032,802800,1465573,379138,35.3910049185033,67.9223444884588,46.5349355463899
seg_track-noNMS-obs07-afteragg-nodil-segsmall-old_det_th,22.6039939451687,52.2463420144145,15.5127955038797,-100,52.3062613001824,55.3059511275472,74.3868121678125,74.425965609698,76.5741635198033,808472,1453098,373466,35.7482633745584,68.4022342965536,46.956301539012
seg-NMS-obs07-beforeagg-nodil-segsmall-old_det_th,21.5344244954732,51.1348163988041,14.5246055738605,-100,51.1724185899002,54.4541840543171,69.6941802361884,69.8274791142582,68.8240976552209,755586,1057741,426352,41.6684911215683,63.9277187128259,50.4520301208741
